49.968147 68.334808 -12.241996 -0.903628 -0.978319 1.355465
-21.710352 21.710352
56.662021 -9.589093 -0.776748 0.969371 -0.245355 -0.010969 42469
59.013157 -9.174102 -0.787282 0.963971 -0.265966 -0.004802 34732
55.465701 -9.717129 -0.761578 0.988031 -0.154155 -0.005522 25656
59.541532 -7.467193 -0.822751 0.915908 -0.401389 -0.000550 21442
59.377749 -6.573517 -0.826424 0.915834 -0.401555 0.000879 19553
57.065057 -7.968314 -0.785528 0.961425 -0.275067 -0.000315 20987
59.429087 -5.422164 -0.842550 0.915882 -0.401448 0.000302 18086
59.597336 -4.664393 -0.847211 0.915897 -0.401412 -0.000436 17297
61.032734 -4.482673 -0.850771 0.918375 -0.395697 -0.003443 14393
55.879103 -8.855255 -0.762463 0.965535 -0.260144 -0.008265 16825
55.969249 -6.939626 -0.804443 0.958608 -0.284722 -0.001895 14271
61.986676 -4.076591 -0.854775 0.918404 -0.395624 -0.003989 12339
63.408271 -3.461766 -0.868136 0.964563 -0.263842 -0.002482 8522
53.279038 -4.405061 1.027434 0.140735 0.990002 0.009475 7697
59.134443 -5.188803 -0.835525 0.999942 -0.009401 -0.005241 8176
62.275536 -6.003815 1.025111 0.181495 0.983274 -0.015247 6486
59.589965 -6.081064 -0.837002 0.915983 -0.401215 0.001681 9329
56.064900 -5.194282 -0.328470 0.146791 0.989159 0.004097 6017
64.996291 -6.322835 -0.280341 0.140133 0.990129 -0.002633 5310
